,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Output-1,Output-2
49,10,0.25,40,0.21,0.05,0.09,0.53,0.01,0.02,0.005,0.022,0.02,8.338876682,27.97200928,0.065700277,176.4751356,35,12
50,14,0.25,56,0.26,0.01,0.06,0.56,0.01,0.01,0.007,0.01,0.07,4.811346352,43.20603231,0.169731649,159.6952148,32,15
51,26,0.281,92.52669039,0.24,0.01,0.02,0.63,0.01,0.02,0.009,0.025,0.04,7.648782213,40.69090373,0.071479434,162.1382121,32,13
52,24,0.281,85.40925267,0.28,0.02,0.03,1.08,0.01,0.03,0.015,0.02,0.01,7.853133627,42.8669608,0.105109012,175.1442007,46,20
53,15.98425197,0.24015748,66.55737705,0.27,0.09,0.12,1.12,0.01,0.04,0.02,0.023,0.02,10.11891252,54.27605636,0.033688194,183.4156579,26,6
54,15.98425197,0.251968504,63.4375,0.23,0.05,0.08,1.01,0.02,0.05,0.015,0.024,0.02,5.81885763,36.51613634,0.274359809,184.8000597,41,23
55,15.98425197,0.25984252,61.51515152,0.24,0.05,0.08,0.94,0.01,0.05,0.022,0.016,0.06,7.492902874,32.12116394,0.158725586,177.5324097,41,13
56,15.98425197,0.25984252,61.51515152,0.26,0.14,0.09,1.09,0.01,0.06,0.014,0.022,0.03,8.137882233,39.19993354,0.254870605,176.6519203,41,22
57,15.98425197,0.251968504,63.4375,0.23,0.05,0.09,0.98,0.01,0.04,0.008,0.011,0.04,6.672642565,38.18178168,0.099627686,172.2335226,49,20
58,15.98425197,0.255905512,62.46153846,0.24,0.07,0.1,0.98,0.02,0.05,0.011,0.016,0.02,5.444686693,36.04899902,0.139362638,177.0881012,46,18
60,15.98425197,0.318897638,50.12345679,0.27,0.05,0.08,1.2,0.01,0.04,0.019,0.023,0.05,5.774187556,52.56693793,0.194340782,190.0135489,39,23
61,15.98425197,0.251968504,63.4375,0.26,0.1,0.12,1.05,0.01,0.05,0.016,0.026,0.04,7.98814518,36.09981283,0.237948331,182.4820677,43,18
62,15.98425197,0.263779528,60.59701493,0.25,0.08,0.07,1.02,0.01,0.03,0.013,0.011,0.01,5.624093754,45.52936062,0.17512052,171.5536312,52,24
63,16,0.28026378,63.4375,0.17,0.04,0.26,0.57,0.01,0.17,0.006,0.018,0.01,3.211582558,51.18925171,0.347166119,153.8574713,45,20
64,16,0.28026378,63.4375,0.22,0.03,0.05,0.69,0.01,0.03,0.011,0.027,0.13,12.45219903,28.76376139,0.195561485,161.3830871,38,14
65,24,0.277559055,86.46808511,0.24,0.04,0.03,1.01,0.01,0.03,0.012,0.021,0.01,6.845374154,48.78023953,0.155528193,173.7117176,42,18
66,16,0.295275591,63.4375,0.23,0.01,0.03,0.99,0.01,0.01,0.02,0.021,0.06,6.986949397,38.39612295,0.182777806,183.1858083,46,18
67,16,0.291338583,63.4375,0.25,0.03,0.04,0.71,0.01,0.05,0.014,0.015,0.08,8.652365569,29.23132595,0.156547038,165.2679173,28,11
68,16,0.265,60.37735849,0.26,0.06,0.11,1.02,0.02,0.07,0.008,0.023,0.09,5.65675579,42.63426921,0.206434462,192.328609,38,15
69,24,0.264,90.90909091,0.23,0.03,0.01,0.5,0.01,0.01,0.005,0.024,0.09,8.625754577,35.57215576,0.120412191,155.8654242,45,20
71,16,0.256,62.5,0.23,0.02,0.09,1.02,0.01,0.02,0.008,0.023,0.09,7.947531605,34.62759806,0.260018485,194.1185383,42,16
72,20,0.265,75.47169811,0.27,0.05,0.04,1.12,0.01,0.03,0.014,0.026,0.01,4.676906575,54.43456421,0.3040716,173.0243621,46,22
73,24,0.265,90.56603774,0.23,0.03,0.09,1.15,0.03,0.06,0.011,0.013,0.02,6.19562804,38.38478666,0.148555501,187.8909606,32,12
74,8,0.338,23.66863905,0.25,0.03,0.03,0.73,0.01,0.01,0.008,0.018,0.03,8.729400073,41.14173381,0.064483158,152.5482215,39,19
75,8,0.319,25.07836991,0.23,0.04,0.02,0.66,0.01,0.01,0.007,0.021,0.03,11.43256183,32.34168294,0.121402995,150.2399044,45,18
77,12,0.25,48,0.03,0.02,0.07,0.29,0.01,0.03,0.006,0.014,0.01,18.50991691,7.360166423,0.243453979,141.3560833,43,12
78,12,0.25,48,0.25,0.01,0.07,1.02,0.01,0.01,0.007,0.015,0.01,11.10351987,40.75755208,0.120187378,157.0166797,44,17
79,8.625,0.25,34.5,0.08,0.01,0.01,0.44,0.01,0.01,0.096,0.078,0.01,19.51351021,9.577008057,0.674697414,133.4697269,48,18
81,16,0.25,64,0.19,0.07,0.39,0.95,0.02,0.13,0.014,0.032,0.2,6.012904567,38.61742554,0.252338712,184.1808265,45,10
82,26,0.25,104,0.25,0.03,0.03,0.43,0.01,0.02,0.009,0.024,0.02,8.863258397,27.73583171,0.23598129,152.0106191,54,18
83,30,0.375,80,0.24,0.03,0.07,1.03,0.01,0.07,0.019,0.022,0.07,7.899825657,39.53986816,0.282480876,180.3974266,40,18
